latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.706,-43.843,310.1,1,1,2021-01-20,125,T,79,6.0NRT,289.6,9.7,N
-11.501,-43.962,301.2,1,1,2021-01-20,125,T,39,6.0NRT,289.5,3.7,N
-6.378,-35.212,319,3.2,1.7,2021-01-20,125,T,98,6.0NRT,293.3,91.5,N
-6.383,-35.24,312.7,3.2,1.7,2021-01-20,125,T,85,6.0NRT,293.2,61.5,N
-6.382,-35.217,326.1,3.2,1.7,2021-01-20,125,T,100,6.0NRT,293.5,132.6,N
-5.826,-42.591,306.6,1,1,2021-01-20,125,T,69,6.0NRT,292.7,6.9,N
-5.521,-42.844,306.9,1,1,2021-01-20,125,T,70,6.0NRT,293,6.6,N
-5.384,-43.359,301.5,1,1,2021-01-20,125,T,42,6.0NRT,290.8,4,N
-5.372,-44.955,309.1,1,1,2021-01-20,125,T,76,6.0NRT,292.3,8.4,N
-5.097,-44.186,305.8,1,1,2021-01-20,125,T,66,6.0NRT,292.9,5.8,N
-4.984,-43.715,312.5,1,1,2021-01-20,125,T,85,6.0NRT,291.6,10.6,N
-4.573,-42.028,305.1,1.1,1.1,2021-01-20,125,T,63,6.0NRT,293,5.8,N
-4.569,-42.034,304.9,1.1,1.1,2021-01-20,125,T,62,6.0NRT,292.9,6.1,N
-4.818,-44.354,306.7,1,1,2021-01-20,125,T,69,6.0NRT,292.3,6,N
-4.636,-44.11,307.8,1,1,2021-01-20,125,T,72,6.0NRT,291.4,6.9,N
-4.493,-44.334,302.8,1,1,2021-01-20,125,T,51,6.0NRT,291.8,3.9,N
-3.499,-40.163,307.3,1.5,1.2,2021-01-20,125,T,71,6.0NRT,294.4,10.7,N
-3.479,-48.465,300.6,1.5,1.2,2021-01-20,125,T,31,6.0NRT,287.4,5.7,N
-3.48,-48.478,302.6,1.5,1.2,2021-01-20,125,T,50,6.0NRT,286.8,7.7,N
-3.409,-50.269,301.4,2,1.4,2021-01-20,125,T,40,6.0NRT,290.4,8.5,N
-33.68,-59.646,307,1.1,1,2021-01-20,300,T,70,6.0NRT,276.1,10.9,N
-32.849,-60.157,300.5,1.1,1,2021-01-20,300,T,25,6.0NRT,278.6,7.5,N
-32.539,-68.659,306.5,1.8,1.3,2021-01-20,300,T,68,6.0NRT,296.2,13.6,N
-32.097,-68.072,310,1.6,1.3,2021-01-20,300,T,79,6.0NRT,299.1,14.9,N
-32.1,-68.078,313.8,1.6,1.3,2021-01-20,300,T,88,6.0NRT,299.1,20.4,N
-30.285,-61.571,313.2,1,1,2021-01-20,300,T,86,6.0NRT,295.1,11.8,N
-30.287,-61.582,305,1,1,2021-01-20,300,T,63,6.0NRT,294.4,5.9,N
-30.182,-62.664,313,1,1,2021-01-20,300,T,85,6.0NRT,297.4,9.6,N
-29.767,-60.902,309.9,1.1,1,2021-01-20,300,T,75,6.0NRT,295.3,8.7,N
-29.756,-60.893,314.2,1.1,1,2021-01-20,300,T,53,6.0NRT,295.2,11.8,N
-29.745,-60.884,305.3,1.1,1,2021-01-20,300,T,14,6.0NRT,295.1,5.2,N
-29.747,-60.895,309.3,1.1,1,2021-01-20,300,T,71,6.0NRT,294.5,8.2,N
-29.923,-68.666,310.5,1.7,1.3,2021-01-20,300,T,80,6.0NRT,295.3,18.6,N
-29.91,-68.646,304.4,1.7,1.3,2021-01-20,300,T,60,6.0NRT,292.3,11.4,N
-29.912,-68.666,305.8,1.7,1.3,2021-01-20,300,T,66,6.0NRT,293.7,13.1,N
-29.011,-64.966,313.8,1.1,1,2021-01-20,300,T,82,6.0NRT,299.6,9.3,N
-27.907,-60.37,306,1.2,1.1,2021-01-20,300,T,46,6.0NRT,295.3,7,N
-27.896,-60.36,306.6,1.2,1.1,2021-01-20,300,T,69,6.0NRT,295.9,7.7,N
-27.898,-60.372,308.2,1.2,1.1,2021-01-20,300,T,74,6.0NRT,295.5,9,N
-28.138,-62.591,318.9,1,1,2021-01-20,300,T,97,6.0NRT,301.1,13.5,N
-28.129,-62.593,335.9,1,1,2021-01-20,300,T,100,6.0NRT,301,33.9,N
-28.13,-62.603,310.5,1,1,2021-01-20,300,T,59,6.0NRT,298.6,6,N
-28.042,-62.381,320.5,1,1,2021-01-20,300,T,100,6.0NRT,300.6,15.3,N
-28.044,-62.391,331.2,1,1,2021-01-20,300,T,100,6.0NRT,300.3,28.3,N
-28.033,-62.382,361.8,1,1,2021-01-20,300,T,100,6.0NRT,302.1,91.7,N
-28.035,-62.393,334.8,1,1,2021-01-20,300,T,100,6.0NRT,299.6,33.7,N
-28.024,-62.384,310.6,1,1,2021-01-20,300,T,74,6.0NRT,298.6,7,N
-27.717,-60.638,312.7,1.2,1.1,2021-01-20,300,T,85,6.0NRT,297.2,11.6,N
-27.719,-60.65,314.1,1.2,1.1,2021-01-20,300,T,88,6.0NRT,297.5,13,N
-27.716,-60.644,311.1,1.2,1.1,2021-01-20,300,T,81,6.0NRT,297.2,10.7,N
-27.737,-62.189,316.2,1,1,2021-01-20,300,T,91,6.0NRT,298.4,13.3,N
-27.738,-62.2,309,1,1,2021-01-20,300,T,69,6.0NRT,297.8,7.6,N
-27.738,-62.868,315,1,1,2021-01-20,300,T,87,6.0NRT,299.6,9.7,N
-27.148,-61.557,307.5,1.1,1,2021-01-20,300,T,67,6.0NRT,296.7,7,N
-27.15,-61.568,310.4,1.1,1,2021-01-20,300,T,77,6.0NRT,296.4,9.4,N
-25.851,-61.522,309.5,1.1,1.1,2021-01-20,300,T,70,6.0NRT,298.6,7.4,N
-25.853,-61.533,308.7,1.1,1.1,2021-01-20,300,T,67,6.0NRT,298.5,6.7,N
-25.792,-64.102,316,1,1,2021-01-20,300,T,91,6.0NRT,298.5,11.3,N
-25.794,-64.112,318.1,1,1,2021-01-20,300,T,96,6.0NRT,298.6,12.8,N
-25.788,-64.133,325.6,1,1,2021-01-20,300,T,100,6.0NRT,299.3,20.5,N
-23.839,-58.907,308.7,1.8,1.3,2021-01-20,300,T,75,6.0NRT,295.4,18.4,N
-23.984,-59.71,313.4,1.5,1.2,2021-01-20,300,T,86,6.0NRT,296,20,N
-24.193,-60.923,324.7,1.3,1.1,2021-01-20,300,T,100,6.0NRT,299.3,28.7,N
-24.195,-60.935,309,1.3,1.1,2021-01-20,300,T,70,6.0NRT,298.7,8.1,N
-24.183,-60.925,325.5,1.3,1.1,2021-01-20,300,T,100,6.0NRT,298.5,29.5,N
-24.185,-60.937,331.5,1.3,1.1,2021-01-20,300,T,100,6.0NRT,299.5,39.9,N
-23.825,-58.963,342.8,1.7,1.3,2021-01-20,300,T,100,6.0NRT,296.7,107.2,N
-23.828,-58.98,309.6,1.7,1.3,2021-01-20,300,T,78,6.0NRT,296.2,18.5,N
-24.175,-60.939,331.6,1.3,1.1,2021-01-20,300,T,100,6.0NRT,299,40,N
-23.83,-58.968,324.6,1.7,1.3,2021-01-20,300,T,100,6.0NRT,296.2,48,N
-23.819,-58.97,315,1.7,1.3,2021-01-20,300,T,90,6.0NRT,295.7,27.5,N
-23.758,-58.966,319.5,1.8,1.3,2021-01-20,300,T,99,6.0NRT,296.2,37.4,N
-23.363,-58.049,308.8,2.1,1.4,2021-01-20,300,T,76,6.0NRT,295,21.7,N
-23.367,-58.069,313.2,2.1,1.4,2021-01-20,300,T,87,6.0NRT,295.7,30.8,N
-23.363,-58.056,315.2,2.1,1.4,2021-01-20,300,T,91,6.0NRT,295.4,36.3,N
-23.382,-59.002,312.2,1.8,1.3,2021-01-20,300,T,84,6.0NRT,296.7,22.7,N
-23.652,-61.003,307.4,1.3,1.1,2021-01-20,300,T,63,6.0NRT,297.4,7.6,N
-23.38,-59.691,308.2,1.6,1.2,2021-01-20,300,T,71,6.0NRT,296.4,12.9,N
-23.361,-60.039,315.7,1.5,1.2,2021-01-20,300,T,91,6.0NRT,298.4,20,N
-23.364,-60.054,311,1.5,1.2,2021-01-20,300,T,79,6.0NRT,298.3,13.2,N
-23.37,-60.043,309.8,1.5,1.2,2021-01-20,300,T,75,6.0NRT,298.4,11.6,N
-23.36,-60.046,314.3,1.5,1.2,2021-01-20,300,T,88,6.0NRT,298.3,17.5,N
-23.427,-61.376,308.9,1.3,1.1,2021-01-20,300,T,66,6.0NRT,298.8,7.2,N
-23.814,-64.15,316.5,1,1,2021-01-20,300,T,93,6.0NRT,295.6,13.6,N
-23.815,-64.16,337.3,1,1,2021-01-20,300,T,100,6.0NRT,297.1,38.3,N
-23.805,-64.152,306.9,1,1,2021-01-20,300,T,65,6.0NRT,294.9,6.8,N
-23.806,-64.162,317.9,1,1,2021-01-20,300,T,95,6.0NRT,295.5,15.2,N
-23.18,-61.239,311.5,1.3,1.1,2021-01-20,300,T,77,6.0NRT,299.6,10.4,N
-23.182,-61.252,309.7,1.3,1.1,2021-01-20,300,T,69,6.0NRT,299.3,8.2,N
-23.123,-61.34,312.5,1.3,1.1,2021-01-20,300,T,80,6.0NRT,299,11.6,N
-23.126,-61.352,316.3,1.3,1.1,2021-01-20,300,T,91,6.0NRT,299.3,15.8,N
-23.126,-61.346,320.6,1.3,1.1,2021-01-20,300,T,100,6.0NRT,299.4,22.1,N
-23.047,-61.31,315.7,1.3,1.1,2021-01-20,300,T,89,6.0NRT,299,15.8,N
-22.879,-60.608,313.4,1.4,1.2,2021-01-20,300,T,84,6.0NRT,298.6,15.9,N
-22.881,-61.482,310.5,1.3,1.1,2021-01-20,300,T,72,6.0NRT,300.3,7.8,N
-22.654,-60.784,311,1.4,1.2,2021-01-20,300,T,75,6.0NRT,299.8,11.4,N
-22.332,-59.194,327.7,1.8,1.3,2021-01-20,300,T,100,6.0NRT,297.8,54.5,N
-22.335,-59.212,334.1,1.8,1.3,2021-01-20,300,T,100,6.0NRT,298.1,74.1,N
-22.32,-59.197,320.1,1.8,1.3,2021-01-20,300,T,100,6.0NRT,297.1,34.9,N
-22.324,-59.214,343.4,1.8,1.3,2021-01-20,300,T,100,6.0NRT,298.3,109.5,N
-22.312,-59.217,308.2,1.8,1.3,2021-01-20,300,T,70,6.0NRT,296.6,13.3,N
