Satelite,Pais,Estado,Municipi,Bioma,day,D_day,latitude,longitude,acq_date
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.705,-64.212,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,BOCA DO ACRE,Amazonia,2018/09/03,"1706",-9.501,-67.479,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,BOCA DO ACRE,Amazonia,2018/09/03,"1706",-9.500,-67.469,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,BOCA DO ACRE,Amazonia,2018/09/03,"1706",-9.484,-67.488,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.289,-65.846,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.273,-65.473,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.268,-65.440,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.256,-65.921,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.244,-65.975,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.240,-65.456,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.239,-65.445,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.239,-65.378,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.224,-65.546,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.222,-65.535,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.205,-65.549,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.202,-65.556,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.201,-65.545,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.146,-67.058,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.137,-67.059,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.131,-65.278,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-9.121,-65.280,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,2018/09/03,"1706",-8.780,-61.419,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.586,-63.944,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.582,-63.938,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,2018/09/03,"1706",-8.250,-61.545,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,2018/09/03,"1706",-8.246,-61.524,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.222,-64.061,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.189,-63.996,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,PAUINI,Amazonia,2018/09/03,"1706",-8.035,-66.956,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,LABREA,Amazonia,2018/09/03,"1706",-8.035,-65.945,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,2018/09/03,"1706",-8.033,-61.492,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,2018/09/03,"1706",-8.030,-61.470,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,2018/09/03,"1706",-8.029,-61.485,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.028,-63.921,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,2018/09/03,"1706",-8.026,-61.464,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,2018/09/03,"1706",-8.014,-61.309,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,2018/09/03,"1706",-7.992,-61.228,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,2018/09/03,"1706",-7.986,-61.222,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,2018/09/03,"1706",-7.974,-61.716,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,HUMAITA,Amazonia,2018/09/03,"1706",-7.876,-63.520,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,HUMAITA,Amazonia,2018/09/03,"1706",-7.875,-63.530,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,HUMAITA,Amazonia,2018/09/03,"1706",-7.873,-63.515,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,2018/09/03,"1706",-7.867,-61.185,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,HUMAITA,Amazonia,2018/09/03,"1706",-7.864,-63.522,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,2018/09/03,"1706",-7.862,-61.204,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,PAUINI,Amazonia,2018/09/03,"1706",-7.787,-66.953,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,PAUINI,Amazonia,2018/09/03,"1706",-7.779,-66.964,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,PAUINI,Amazonia,2018/09/03,"1706",-7.778,-66.954,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,HUMAITA,Amazonia,2018/09/03,"1706",-7.042,-62.946,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,HUMAITA,Amazonia,2018/09/03,"1706",-7.030,-62.948,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,BOCA DO ACRE,Amazonia,2018/09/03,"1706",-9.246,-68.199,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,BOCA DO ACRE,Amazonia,2018/09/03,"1706",-9.245,-68.190,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.949,-64.430,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.947,-64.418,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.942,-64.424,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.897,-64.406,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazonia,2018/09/03,"1706",-8.886,-64.407,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANACAPURU,Amazonia,2018/09/03,"1706",-3.216,-61.176,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-7.014,-59.911,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-7.016,-59.927,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANICORE,Amazonia,2018/09/04,"1707",-7.017,-61.458,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-7.020,-59.514,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-7.024,-59.371,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.774,-59.133,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,MANACAPURU,Amazonia,2018/09/04,"1707",-3.251,-60.900,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.796,-59.046,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,2018/09/04,"1707",-6.792,-59.941,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.781,-59.020,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.813,-59.419,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.815,-59.788,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.820,-59.792,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.822,-59.155,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.822,-59.402,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.824,-59.417,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.827,-59.786,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.811,-59.404,2020/12/11
AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,2018/09/04,"1707",-6.831,-59.205,2020/12/11
